|6.6.6
PYR_1.tab                                                                                           
           2
T(K)    
   773.00000000000000     
   27.559055118110237     
         128
P(bar)  
   1.0000000000000000     
   10708.653543307086     
         128
          14
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol   
  3776.94        439056.        4406.14       0.233389E-004  0.333147E-006  0.338830E+007  0.151108E+007   8.76923        11.0737        5.85617        3324.31       0.142125E+007   1329.37        2.26958     
  3804.50        439056.        4403.21       0.233943E-004  0.333979E-006  0.338358E+007  0.150559E+007   8.76604        11.0650        5.84747        3334.05       0.145816E+007   1330.93        2.27109     
  3832.06        439056.        4400.27       0.234499E-004  0.334816E-006  0.337886E+007  0.150008E+007   8.76285        11.0563        5.83872        3343.73       0.149512E+007   1332.48        2.27261     
  3859.61        439056.        4397.33       0.235059E-004  0.335658E-006  0.337414E+007  0.149457E+007   8.75966        11.0476        5.82994        3353.35       0.153211E+007   1334.05        2.27413     
  3887.17        439056.        4394.38       0.235622E-004  0.336505E-006  0.336941E+007  0.148906E+007   8.75645        11.0388        5.82113        3362.91       0.156915E+007   1335.62        2.27566     
  3914.73        439056.        4391.42       0.236188E-004  0.337357E-006  0.336467E+007  0.148354E+007   8.75324        11.0301        5.81228        3372.42       0.160623E+007   1337.20        2.27719     
  3942.29        439056.        4388.46       0.236758E-004  0.338215E-006  0.335992E+007  0.147801E+007   8.75001        11.0213        5.80340        3381.86       0.164335E+007   1338.79        2.27873     
  3969.85        439056.        4385.49       0.237330E-004  0.339078E-006  0.335518E+007  0.147246E+007   8.74678        11.0124        5.79446        3391.26       0.168053E+007   1340.39        2.28027     
  3997.41        439056.        4382.52       0.237907E-004  0.339946E-006  0.335042E+007  0.146693E+007   8.74355        11.0036        5.78552        3400.60       0.171773E+007   1341.99        2.28181     
  4024.97        439056.        4379.55       0.238487E-004  0.340820E-006  0.334566E+007  0.146138E+007   8.74030        10.9947        5.77652        3409.89       0.175498E+007   1343.60        2.28336     
  4052.53        439056.        4376.57       0.239070E-004  0.341699E-006  0.334090E+007  0.145582E+007   8.73705        10.9858        5.76750        3419.12       0.179227E+007   1345.22        2.28492     
  4080.09        439056.        4373.58       0.239656E-004  0.342584E-006  0.333613E+007  0.145025E+007   8.73379        10.9769        5.75842        3428.30       0.182961E+007   1346.85        2.28648     
  4107.65        439056.        4370.59       0.240247E-004  0.343474E-006  0.333135E+007  0.144468E+007   8.73052        10.9679        5.74932        3437.43       0.186699E+007   1348.49        2.28805     
  4135.20        439056.        4367.59       0.240841E-004  0.344371E-006  0.332657E+007  0.143911E+007   8.72725        10.9589        5.74018        3446.51       0.190441E+007   1350.14        2.28962     
  4162.76        439056.        4364.59       0.241438E-004  0.345272E-006  0.332178E+007  0.143352E+007   8.72397        10.9499        5.73099        3455.54       0.194188E+007   1351.80        2.29119     
  4190.32        439056.        4361.58       0.242040E-004  0.346180E-006  0.331699E+007  0.142792E+007   8.72068        10.9408        5.72177        3464.53       0.197939E+007   1353.46        2.29277     
  4217.88        439056.        4358.56       0.242645E-004  0.347093E-006  0.331220E+007  0.142232E+007   8.71738        10.9318        5.71251        3473.46       0.201695E+007   1355.14        2.29436     
  4245.44        439056.        4355.55       0.243254E-004  0.348013E-006  0.330739E+007  0.141672E+007   8.71408        10.9227        5.70323        3482.34       0.205455E+007   1356.81        2.29595     
  4273.00        439056.        4352.52       0.243867E-004  0.348938E-006  0.330259E+007  0.141110E+007   8.71077        10.9135        5.69389        3491.18       0.209219E+007   1358.51        2.29754     
  773.000        449764.        4704.43       0.171388E-004  0.262566E-006  0.390100E+007  0.206628E+007   9.10615        11.8947        6.62737        1349.20      -0.214863E+007   1107.92        2.12568     
  800.559        449764.        4702.07       0.172677E-004  0.262996E-006  0.389753E+007  0.206137E+007   9.10437        11.8888        6.62115        1390.38      -0.211623E+007   1115.28        2.12674     
  828.118        449764.        4699.70       0.173879E-004  0.263427E-006  0.389404E+007  0.205642E+007   9.10259        11.8827        6.61486        1430.58      -0.208350E+007   1122.05        2.12782     
  855.677        449764.        4697.36       0.175007E-004  0.263864E-006  0.389049E+007  0.205166E+007   9.10071        11.8768        6.60884        1469.43      -0.205080E+007   1128.30        2.12888     
  883.236        449764.        4695.15       0.176076E-004  0.264318E-006  0.388672E+007  0.204764E+007   9.09844        11.8714        6.60393        1506.07      -0.201894E+007   1134.09        2.12988     
  910.795        449764.        4692.93       0.177085E-004  0.264775E-006  0.388292E+007  0.204362E+007   9.09614        11.8660        6.59899        1541.81      -0.198688E+007   1139.48        2.13088     
  938.354        449764.        4690.71       0.178041E-004  0.265235E-006  0.387911E+007  0.203958E+007   9.09383        11.8606        6.59404        1576.68      -0.195465E+007   1144.50        2.13190     
  965.913        449764.        4688.47       0.178949E-004  0.265697E-006  0.387528E+007  0.203553E+007   9.09150        11.8551        6.58906        1610.70      -0.192225E+007   1149.20        2.13291     
  993.472        449764.        4686.24       0.179816E-004  0.266163E-006  0.387143E+007  0.203147E+007   9.08916        11.8496        6.58406        1643.93      -0.188970E+007   1153.60        2.13393     
  1021.03        449764.        4683.99       0.180645E-004  0.266631E-006  0.386756E+007  0.202740E+007   9.08680        11.8440        6.57903        1676.40      -0.185700E+007   1157.75        2.13495     
  1048.59        449764.        4681.74       0.181440E-004  0.267102E-006  0.386368E+007  0.202332E+007   9.08442        11.8385        6.57399        1708.14      -0.182416E+007   1161.65        2.13598     
  1076.15        449764.        4679.48       0.182204E-004  0.267575E-006  0.385979E+007  0.201923E+007   9.08203        11.8329        6.56893        1739.18      -0.179119E+007   1165.35        2.13701     
  1103.71        449764.        4677.21       0.182941E-004  0.268051E-006  0.385588E+007  0.201513E+007   9.07963        11.8273        6.56383        1769.54      -0.175809E+007   1168.85        2.13805     
  1131.27        449764.        4674.94       0.183653E-004  0.268529E-006  0.385196E+007  0.201101E+007   9.07722        11.8217        6.55872        1799.27      -0.172488E+007   1172.17        2.13908     
  1158.83        449764.        4672.67       0.184343E-004  0.269010E-006  0.384803E+007  0.200689E+007   9.07480        11.8160        6.55359        1828.38      -0.169154E+007   1175.34        2.14013     
  1186.39        449764.        4670.39       0.185013E-004  0.269494E-006  0.384409E+007  0.200275E+007   9.07236        11.8103        6.54843        1856.90      -0.165810E+007   1178.36        2.14117     
  1213.94        449764.        4668.10       0.185664E-004  0.269980E-006  0.384015E+007  0.199861E+007   9.06992        11.8046        6.54326        1884.86      -0.162454E+007   1181.25        2.14222     
  1241.50        449764.        4665.81       0.186298E-004  0.270469E-006  0.383618E+007  0.199445E+007   9.06747        11.7989        6.53805        1912.26      -0.159090E+007   1184.03        2.14327     
  1269.06        449764.        4663.51       0.186918E-004  0.270960E-006  0.383222E+007  0.199029E+007   9.06501        11.7932        6.53284        1939.16      -0.155714E+007   1186.69        2.14433     
  1296.62        449764.        4661.21       0.187523E-004  0.271454E-006  0.382824E+007  0.198612E+007   9.06254        11.7874        6.52760        1965.54      -0.152330E+007   1189.25        2.14539     
  1324.18        449764.        4658.90       0.188116E-004  0.271951E-006  0.382425E+007  0.198194E+007   9.06007        11.7816        6.52234        1991.44      -0.148936E+007   1191.71        2.14645     
  1351.74        449764.        4656.59       0.188698E-004  0.272450E-006  0.382026E+007  0.197775E+007   9.05759        11.7758        6.51707        2016.87      -0.145534E+007   1194.10        2.14752     
  1379.30        449764.        4654.27       0.189270E-004  0.272951E-006  0.381626E+007  0.197356E+007   9.05510        11.7700        6.51178        2041.86      -0.142121E+007   1196.40        2.14858     
  1406.86        449764.        4651.84       0.189810E-004  0.273456E-006  0.381216E+007  0.196893E+007   9.05260        11.7637        6.50583        2065.78      -0.138790E+007   1198.62        2.14971     
  1434.42        449764.        4649.39       0.190337E-004  0.273963E-006  0.380804E+007  0.196423E+007   9.05008        11.7573        6.49977        2089.20      -0.135463E+007   1200.78        2.15084     
  1461.98        449764.        4646.93       0.190856E-004  0.274473E-006  0.380390E+007  0.195951E+007   9.04756        11.7508        6.49368        2112.22      -0.132129E+007   1202.87        2.15198     
  1489.54        449764.        4644.47       0.191368E-004  0.274986E-006  0.379975E+007  0.195478E+007   9.04502        11.7444        6.48755        2134.86      -0.128788E+007   1204.91        2.15312     
  1517.09        449764.        4642.00       0.191872E-004  0.275502E-006  0.379559E+007  0.195003E+007   9.04247        11.7379        6.48139        2157.13      -0.125440E+007   1206.89        2.15427     
  1544.65        449764.        4639.52       0.192369E-004  0.276020E-006  0.379141E+007  0.194526E+007   9.03991        11.7313        6.47519        2179.05      -0.122085E+007   1208.82        2.15542     
  1572.21        449764.        4637.04       0.192860E-004  0.276542E-006  0.378723E+007  0.194049E+007   9.03733        11.7248        6.46897        2200.62      -0.118723E+007   1210.71        2.15657     
  1599.77        449764.        4634.56       0.193346E-004  0.277066E-006  0.378303E+007  0.193569E+007   9.03474        11.7182        6.46270        2221.86      -0.115354E+007   1212.56        2.15773     
  1627.33        449764.        4632.07       0.193827E-004  0.277593E-006  0.377882E+007  0.193088E+007   9.03215        11.7115        6.45641        2242.78      -0.111979E+007   1214.37        2.15889     
  1654.89        449764.        4629.57       0.194302E-004  0.278122E-006  0.377461E+007  0.192606E+007   9.02954        11.7049        6.45008        2263.38      -0.108597E+007   1216.14        2.16005     
  1682.45        449764.        4627.07       0.194774E-004  0.278655E-006  0.377038E+007  0.192123E+007   9.02691        11.6982        6.44372        2283.69      -0.105210E+007   1217.88        2.16122     
  1710.01        449764.        4624.56       0.195242E-004  0.279191E-006  0.376614E+007  0.191638E+007   9.02428        11.6914        6.43732        2303.70      -0.101815E+007   1219.59        2.16239     
  1737.57        449764.        4622.05       0.195706E-004  0.279729E-006  0.376189E+007  0.191151E+007   9.02164        11.6847        6.43089        2323.43       -984149.        1221.27        2.16356     
  1765.13        449764.        4619.54       0.196166E-004  0.280270E-006  0.375763E+007  0.190664E+007   9.01899        11.6779        6.42443        2342.88       -950084.        1222.93        2.16474     
  1792.69        449764.        4617.02       0.196624E-004  0.280814E-006  0.375336E+007  0.190175E+007   9.01632        11.6711        6.41794        2362.06       -915960.        1224.56        2.16592     
  1820.24        449764.        4614.49       0.197079E-004  0.281362E-006  0.374908E+007  0.189685E+007   9.01365        11.6642        6.41142        2380.98       -881783.        1226.16        2.16711     
  1847.80        449764.        4611.96       0.197532E-004  0.281911E-006  0.374479E+007  0.189193E+007   9.01096        11.6573        6.40486        2399.65       -847548.        1227.75        2.16830     
  1875.36        449764.        4609.43       0.197983E-004  0.282465E-006  0.374048E+007  0.188701E+007   9.00825        11.6504        6.39829        2418.06       -813268.        1229.31        2.16949     
  1902.92        449764.        4606.89       0.198430E-004  0.283020E-006  0.373620E+007  0.188207E+007   9.00556        11.6435        6.39166        2436.25       -778913.        1230.86        2.17068     
  1930.48        449764.        4604.35       0.198877E-004  0.283578E-006  0.373188E+007  0.187712E+007   9.00285        11.6365        6.38501        2454.19       -744520.        1232.39        2.17188     
  1958.04        449764.        4601.80       0.199322E-004  0.284140E-006  0.372756E+007  0.187216E+007   9.00013        11.6296        6.37833        2471.90       -710081.        1233.90        2.17309     
  1985.60        449764.        4599.24       0.199766E-004  0.284705E-006  0.372323E+007  0.186718E+007   8.99740        11.6225        6.37163        2489.40       -675589.        1235.40        2.17429     
  2013.16        449764.        4596.69       0.200208E-004  0.285272E-006  0.371890E+007  0.186220E+007   8.99466        11.6155        6.36489        2506.67       -641052.        1236.89        2.17550     
  2040.72        449764.        4594.12       0.200650E-004  0.285842E-006  0.371455E+007  0.185721E+007   8.99191        11.6084        6.35813        2523.73       -606477.        1238.36        2.17672     
  2068.28        449764.        4591.56       0.201091E-004  0.286415E-006  0.371020E+007  0.185220E+007   8.98915        11.6013        6.35133        2540.59       -571843.        1239.82        2.17793     
  2095.83        449764.        4588.98       0.201531E-004  0.286991E-006  0.370585E+007  0.184719E+007   8.98639        11.5942        6.34451        2557.23       -537182.        1241.27        2.17915     
  2123.39        449764.        4586.41       0.201971E-004  0.287571E-006  0.370148E+007  0.184217E+007   8.98362        11.5871        6.33766        2573.69       -502470.        1242.71        2.18038     
  2150.95        449764.        4583.82       0.202410E-004  0.288152E-006  0.369711E+007  0.183714E+007   8.98085        11.5799        6.33078        2589.95       -467722.        1244.14        2.18161     
  2178.51        449764.        4581.24       0.202849E-004  0.288738E-006  0.369273E+007  0.183210E+007   8.97806        11.5727        6.32388        2606.02       -432933.        1245.56        2.18284     
  2206.07        449764.        4578.65       0.203288E-004  0.289325E-006  0.368835E+007  0.182705E+007   8.97527        11.5655        6.31694        2621.90       -398112.        1246.98        2.18407     
  2233.63        449764.        4576.05       0.203726E-004  0.289916E-006  0.368397E+007  0.182200E+007   8.97248        11.5583        6.30998        2637.61       -363250.        1248.39        2.18531     
  2261.19        449764.        4573.45       0.204166E-004  0.290510E-006  0.367957E+007  0.181693E+007   8.96967        11.5510        6.30301        2653.13       -328356.        1249.79        2.18656     
  2288.75        449764.        4570.84       0.204605E-004  0.291107E-006  0.367517E+007  0.181186E+007   8.96687        11.5437        6.29600        2668.49       -293427.        1251.18        2.18780     
  2316.31        449764.        4568.23       0.205045E-004  0.291706E-006  0.367077E+007  0.180679E+007   8.96405        11.5364        6.28897        2683.67       -258467.        1252.57        2.18905     
  2343.87        449764.        4565.61       0.205484E-004  0.292309E-006  0.366636E+007  0.180170E+007   8.96124        11.5291        6.28190        2698.69       -223464.        1253.96        2.19031     
  2371.43        449764.        4562.99       0.205925E-004  0.292915E-006  0.366195E+007  0.179660E+007   8.95841        11.5218        6.27482        2713.55       -188437.        1255.34        2.19157     
  2398.98        449764.        4560.36       0.206366E-004  0.293524E-006  0.365753E+007  0.179150E+007   8.95559        11.5144        6.26771        2728.25       -153373.        1256.71        2.19283     
  2426.54        449764.        4557.73       0.206808E-004  0.294135E-006  0.365311E+007  0.178639E+007   8.95276        11.5070        6.26057        2742.79       -118286.        1258.09        2.19410     
  2454.10        449764.        4555.10       0.207251E-004  0.294751E-006  0.364868E+007  0.178128E+007   8.94991        11.4996        6.25342        2757.19       -83154.6        1259.46        2.19537     
  2481.66        449764.        4552.45       0.207694E-004  0.295369E-006  0.364424E+007  0.177616E+007   8.94707        11.4922        6.24624        2771.43       -48000.8        1260.83        2.19664     
  2509.22        449764.        4549.81       0.208138E-004  0.295990E-006  0.363980E+007  0.177103E+007   8.94422        11.4848        6.23903        2785.54       -12813.4        1262.19        2.19792     
  2536.78        449764.        4547.15       0.208584E-004  0.296614E-006  0.363536E+007  0.176590E+007   8.94137        11.4773        6.23179        2799.50        22407.3        1263.56        2.19920     
  2564.34        449764.        4544.50       0.209030E-004  0.297242E-006  0.363091E+007  0.176076E+007   8.93851        11.4698        6.22454        2813.31        57651.1        1264.92        2.20049     
  2591.90        449764.        4541.83       0.209478E-004  0.297873E-006  0.362646E+007  0.175561E+007   8.93564        11.4623        6.21726        2827.00        92933.8        1266.28        2.20178     
  2619.46        449764.        4539.17       0.209926E-004  0.298507E-006  0.362201E+007  0.175046E+007   8.93278        11.4548        6.20995        2840.55        128243.        1267.65        2.20307     
  2647.02        449764.        4536.49       0.210376E-004  0.299144E-006  0.361755E+007  0.174530E+007   8.92991        11.4473        6.20261        2853.97        163590.        1269.01        2.20437     
  2674.57        449764.        4533.81       0.210827E-004  0.299784E-006  0.361308E+007  0.174013E+007   8.92703        11.4397        6.19526        2867.26        198953.        1270.37        2.20567     
  2702.13        449764.        4531.13       0.211280E-004  0.300428E-006  0.360861E+007  0.173496E+007   8.92415        11.4321        6.18787        2880.44        234363.        1271.73        2.20698     
  2729.69        449764.        4528.44       0.211733E-004  0.301075E-006  0.360414E+007  0.172978E+007   8.92126        11.4245        6.18046        2893.48        269797.        1273.09        2.20829     
  2757.25        449764.        4525.74       0.212189E-004  0.301726E-006  0.359966E+007  0.172459E+007   8.91837        11.4169        6.17303        2906.41        305267.        1274.45        2.20960     
  2784.81        449764.        4523.04       0.212645E-004  0.302380E-006  0.359517E+007  0.171940E+007   8.91547        11.4093        6.16556        2919.22        340765.        1275.81        2.21092     
  2812.37        449764.        4520.34       0.213103E-004  0.303037E-006  0.359069E+007  0.171420E+007   8.91257        11.4016        6.15808        2931.92        376293.        1277.18        2.21225     
  2839.93        449764.        4517.63       0.213563E-004  0.303698E-006  0.358619E+007  0.170899E+007   8.90967        11.3939        6.15056        2944.50        411855.        1278.54        2.21357     
  2867.49        449764.        4514.91       0.214024E-004  0.304362E-006  0.358170E+007  0.170378E+007   8.90676        11.3862        6.14302        2956.98        447455.        1279.91        2.21490     
  2895.05        449764.        4512.19       0.214487E-004  0.305030E-006  0.357719E+007  0.169856E+007   8.90384        11.3785        6.13546        2969.34        483076.        1281.28        2.21624     
  2922.61        449764.        4509.46       0.214952E-004  0.305701E-006  0.357268E+007  0.169333E+007   8.90092        11.3707        6.12786        2981.60        518738.        1282.65        2.21758     
  2950.17        449764.        4506.73       0.215418E-004  0.306376E-006  0.356817E+007  0.168810E+007   8.89800        11.3630        6.12023        2993.75        554433.        1284.03        2.21892     
  2977.72        449764.        4503.99       0.215886E-004  0.307054E-006  0.356366E+007  0.168286E+007   8.89506        11.3552        6.11258        3005.81        590160.        1285.40        2.22027     
  3005.28        449764.        4501.25       0.216356E-004  0.307737E-006  0.355913E+007  0.167761E+007   8.89212        11.3474        6.10491        3017.76        625918.        1286.78        2.22163     
  3032.84        449764.        4498.50       0.216827E-004  0.308422E-006  0.355461E+007  0.167236E+007   8.88918        11.3396        6.09720        3029.62        661711.        1288.16        2.22298     
  3060.40        449764.        4495.75       0.217301E-004  0.309111E-006  0.355008E+007  0.166709E+007   8.88624        11.3317        6.08946        3041.38        697545.        1289.55        2.22435     
  3087.96        449764.        4492.99       0.217776E-004  0.309805E-006  0.354554E+007  0.166183E+007   8.88328        11.3238        6.08171        3053.04        733402.        1290.93        2.22571     
  3115.52        449764.        4490.22       0.218253E-004  0.310501E-006  0.354100E+007  0.165655E+007   8.88033        11.3159        6.07390        3064.62        769294.        1292.32        2.22708     
  3143.08        449764.        4487.46       0.218733E-004  0.311203E-006  0.353644E+007  0.165128E+007   8.87735        11.3080        6.06611        3076.10        805235.        1293.72        2.22846     
  3170.64        449764.        4484.68       0.219214E-004  0.311907E-006  0.353190E+007  0.164598E+007   8.87438        11.3001        6.05824        3087.49        841204.        1295.12        2.22984     
  3198.20        449764.        4481.90       0.219697E-004  0.312616E-006  0.352734E+007  0.164069E+007   8.87141        11.2921        6.05037        3098.80        877205.        1296.52        2.23122     
  3225.76        449764.        4479.11       0.220182E-004  0.313328E-006  0.352277E+007  0.163539E+007   8.86842        11.2841        6.04247        3110.02        913244.        1297.93        2.23261     
  3253.31        449764.        4476.32       0.220670E-004  0.314045E-006  0.351820E+007  0.163008E+007   8.86543        11.2761        6.03454        3121.16        949320.        1299.34        2.23400     
  3280.87        449764.        4473.52       0.221159E-004  0.314765E-006  0.351363E+007  0.162476E+007   8.86244        11.2680        6.02656        3132.21        985433.        1300.75        2.23540     
  3308.43        449764.        4470.72       0.221651E-004  0.315490E-006  0.350906E+007  0.161944E+007   8.85944        11.2600        6.01857        3143.18       0.102158E+007   1302.17        2.23680     
  3335.99        449764.        4467.91       0.222145E-004  0.316218E-006  0.350447E+007  0.161410E+007   8.85643        11.2519        6.01054        3154.07       0.105776E+007   1303.59        2.23820     
  3363.55        449764.        4465.10       0.222641E-004  0.316951E-006  0.349988E+007  0.160876E+007   8.85342        11.2438        6.00248        3164.89       0.109399E+007   1305.02        2.23961     
  3391.11        449764.        4462.28       0.223140E-004  0.317687E-006  0.349529E+007  0.160342E+007   8.85040        11.2357        5.99439        3175.62       0.113024E+007   1306.45        2.24103     
  3418.67        449764.        4459.46       0.223640E-004  0.318429E-006  0.349068E+007  0.159807E+007   8.84737        11.2275        5.98628        3186.28       0.116654E+007   1307.89        2.24245     
  3446.23        449764.        4456.63       0.224143E-004  0.319173E-006  0.348608E+007  0.159271E+007   8.84434        11.2193        5.97813        3196.87       0.120287E+007   1309.34        2.24387     
  3473.79        449764.        4453.79       0.224649E-004  0.319923E-006  0.348147E+007  0.158734E+007   8.84130        11.2111        5.96994        3207.38       0.123924E+007   1310.78        2.24530     
  3501.35        449764.        4450.95       0.225157E-004  0.320677E-006  0.347685E+007  0.158197E+007   8.83825        11.2029        5.96174        3217.82       0.127565E+007   1312.24        2.24673     
  3528.91        449764.        4448.11       0.225667E-004  0.321435E-006  0.347223E+007  0.157659E+007   8.83521        11.1946        5.95349        3228.19       0.131210E+007   1313.70        2.24817     
  3556.46        449764.        4445.26       0.226180E-004  0.322197E-006  0.346760E+007  0.157120E+007   8.83215        11.1863        5.94520        3238.49       0.134859E+007   1315.16        2.24961     
  3584.02        449764.        4442.40       0.226696E-004  0.322964E-006  0.346297E+007  0.156580E+007   8.82908        11.1780        5.93690        3248.72       0.138512E+007   1316.63        2.25106     
  3611.58        449764.        4439.54       0.227213E-004  0.323735E-006  0.345834E+007  0.156039E+007   8.82602        11.1697        5.92855        3258.88       0.142168E+007   1318.11        2.25251     
  3639.14        449764.        4436.67       0.227734E-004  0.324511E-006  0.345369E+007  0.155499E+007   8.82294        11.1613        5.92018        3268.98       0.145829E+007   1319.59        2.25396     
  3666.70        449764.        4433.80       0.228257E-004  0.325291E-006  0.344905E+007  0.154957E+007   8.81986        11.1530        5.91176        3279.01       0.149493E+007   1321.08        2.25543     
  3694.26        449764.        4430.92       0.228783E-004  0.326076E-006  0.344439E+007  0.154414E+007   8.81676        11.1446        5.90333        3288.98       0.153161E+007   1322.58        2.25689     
  3721.82        449764.        4428.04       0.229312E-004  0.326865E-006  0.343973E+007  0.153871E+007   8.81367        11.1361        5.89485        3298.88       0.156833E+007   1324.08        2.25836     
  3749.38        449764.        4425.15       0.229844E-004  0.327660E-006  0.343506E+007  0.153328E+007   8.81056        11.1277        5.88635        3308.72       0.160510E+007   1325.59        2.25983     
  3776.94        449764.        4422.25       0.230378E-004  0.328459E-006  0.343040E+007  0.152783E+007   8.80745        11.1192        5.87780        3318.50       0.164190E+007   1327.10        2.26131     
  3804.50        449764.        4419.35       0.230915E-004  0.329262E-006  0.342572E+007  0.152238E+007   8.80433        11.1107        5.86924        3328.22       0.167874E+007   1328.63        2.26280     
  3832.06        449764.        4416.45       0.231455E-004  0.330071E-006  0.342104E+007  0.151692E+007   8.80121        11.1021        5.86063        3337.88       0.171562E+007   1330.15        2.26428     
  3859.61        449764.        4413.54       0.231998E-004  0.330884E-006  0.341635E+007  0.151144E+007   8.79808        11.0936        5.85198        3347.48       0.175255E+007   1331.69        2.26578     
  3887.17        449764.        4410.63       0.232544E-004  0.331702E-006  0.341166E+007  0.150596E+007   8.79494        11.0850        5.84329        3357.03       0.178952E+007   1333.23        2.26727     
  3914.73        449764.        4407.71       0.233093E-004  0.332525E-006  0.340696E+007  0.150049E+007   8.79179        11.0763        5.83459        3366.51       0.182653E+007   1334.78        2.26878     
  3942.29        449764.        4404.78       0.233646E-004  0.333354E-006  0.340226E+007  0.149500E+007   8.78864        11.0677        5.82584        3375.94       0.186358E+007   1336.34        2.27028     
  3969.85        449764.        4401.85       0.234201E-004  0.334187E-006  0.339755E+007  0.148950E+007   8.78548        11.0590        5.81705        3385.32       0.190067E+007   1337.91        2.27180     
  3997.41        449764.        4398.91       0.234759E-004  0.335025E-006  0.339284E+007  0.148399E+007   8.78232        11.0503        5.80822        3394.64       0.193780E+007   1339.48        2.27331     
  4024.97        449764.        4395.97       0.235321E-004  0.335869E-006  0.338812E+007  0.147849E+007   8.77914        11.0416        5.79938        3403.91       0.197498E+007   1341.06        2.27483     
  4052.53        449764.        4393.03       0.235886E-004  0.336717E-006  0.338340E+007  0.147297E+007   8.77596        11.0329        5.79049        3413.12       0.201219E+007   1342.65        2.27636     
  4080.09        449764.        4390.07       0.236454E-004  0.337571E-006  0.337867E+007  0.146744E+007   8.77277        11.0241        5.78156        3422.29       0.204946E+007   1344.25        2.27789     
  4107.65        449764.        4387.12       0.237026E-004  0.338430E-006  0.337394E+007  0.146191E+007   8.76958        11.0153        5.77259        3431.40       0.208676E+007   1345.85        2.27942     
  4135.20        449764.        4384.16       0.237601E-004  0.339295E-006  0.336920E+007  0.145638E+007   8.76638        11.0064        5.76360        3440.46       0.212410E+007   1347.47        2.28096     
  4162.76        449764.        4381.19       0.238179E-004  0.340165E-006  0.336445E+007  0.145083E+007   8.76317        10.9976        5.75456        3449.47       0.216150E+007   1349.09        2.28251     
  4190.32        449764.        4378.22       0.238761E-004  0.341040E-006  0.335970E+007  0.144528E+007   8.75995        10.9887        5.74549        3458.44       0.219893E+007   1350.72        2.28406     
  4217.88        449764.        4375.24       0.239347E-004  0.341921E-006  0.335494E+007  0.143972E+007   8.75672        10.9798        5.73638        3467.35       0.223640E+007   1352.36        2.28561     
  4245.44        449764.        4372.25       0.239936E-004  0.342807E-006  0.335019E+007  0.143415E+007   8.75350        10.9708        5.72723        3476.22       0.227392E+007   1354.01        2.28717     
  4273.00        449764.        4369.27       0.240529E-004  0.343699E-006  0.334542E+007  0.142857E+007   8.75026        10.9618        5.71803        3485.04       0.231149E+007   1355.67        2.28874     
  773.000        460473.        4717.64       0.169650E-004  0.259874E-006  0.394021E+007  0.207988E+007   9.13897        11.9291        6.63982        1345.11      -0.192448E+007   1107.02        2.11972     
  800.559        460473.        4715.31       0.170929E-004  0.260294E-006  0.393674E+007  0.207500E+007   9.13720        11.9232        6.63368        1386.26      -0.189211E+007   1114.40        2.12077     
  828.118        460473.        4712.96       0.172122E-004  0.260715E-006  0.393327E+007  0.207008E+007   9.13545        11.9172        6.62745        1426.42      -0.185941E+007   1121.20        2.12183     
  855.677        460473.        4710.60       0.173239E-004  0.261139E-006  0.392977E+007  0.206514E+007   9.13368        11.9113        6.62121        1465.57      -0.182645E+007   1127.47        2.12289     
  883.236        460473.        4708.40       0.174298E-004  0.261583E-006  0.392601E+007  0.206115E+007   9.13144        11.9059        6.61634        1502.20      -0.179460E+007   1133.29        2.12388     
  910.795        460473.        4706.20       0.175298E-004  0.262030E-006  0.392223E+007  0.205714E+007   9.12917        11.9006        6.61145        1537.92      -0.176256E+007   1138.69        2.12488     
  938.354        460473.        4704.00       0.176245E-004  0.262479E-006  0.391843E+007  0.205312E+007   9.12688        11.8952        6.60654        1572.77      -0.173035E+007   1143.72        2.12587     
  965.913        460473.        4701.78       0.177145E-004  0.262931E-006  0.391461E+007  0.204910E+007   9.12458        11.8898        6.60161        1606.78      -0.169796E+007   1148.43        2.12687     
  993.472        460473.        4699.56       0.178003E-004  0.263386E-006  0.391077E+007  0.204506E+007   9.12226        11.8843        6.59666        1639.99      -0.166543E+007   1152.85        2.12788     
  1021.03        460473.        4697.34       0.178823E-004  0.263843E-006  0.390692E+007  0.204101E+007   9.11993        11.8788        6.59169        1672.45      -0.163274E+007   1157.00        2.12889     
  1048.59        460473.        4695.10       0.179610E-004  0.264303E-006  0.390305E+007  0.203695E+007   9.11758        11.8733        6.58669        1704.17      -0.159992E+007   1160.91        2.12990     
  1076.15        460473.        4692.86       0.180366E-004  0.264765E-006  0.389917E+007  0.203288E+007   9.11522        11.8678        6.58168        1735.19      -0.156696E+007   1164.61        2.13092     
  1103.71        460473.        4690.62       0.181094E-004  0.265230E-006  0.389527E+007  0.202880E+007   9.11284        11.8623        6.57664        1765.54      -0.153388E+007   1168.12        2.13194     
  1131.27        460473.        4688.37       0.181798E-004  0.265697E-006  0.389137E+007  0.202470E+007   9.11046        11.8567        6.57158        1795.25      -0.150068E+007   1171.45        2.13296     
  1158.83        460473.        4686.11       0.182479E-004  0.266167E-006  0.388745E+007  0.202061E+007   9.10806        11.8511        6.56651        1824.36      -0.146735E+007   1174.62        2.13399     
