# This ASPECT-compatible file contains material properties evaluated along an isentrope by the BurnMan software.
# POINTS: 501
# depth (m), pressure (Pa), temperature (K), density (kg/m^3), gravity (m/s^2), thermal expansivity (1/K), specific heat (J/K/kg), compressibility (1/Pa), molar volume (m^3/mol), molar entropy (J/K/mol), molar Gibbs (J/mol), Vp (m/s), Vs (m/s), dVp/dT (m/s/K), dVs/dT (m/s/K)
depth	pressure	temperature	density	gravity	thermal_expansivity	specific_heat	compressibility	molar_volume	molar_entropy	molar_gibbs	seismic_vp	seismic_vs	seismic_dvp_dt	seismic_dvs_dt
2.7193141456e+05	8.9760934000e+09	1.6946983585e+03	3.4829284103e+03	9.9070049508e+00	2.6465458395e-05	1.2274201295e+03	6.6437118587e-12	2.8712200750e-05	2.5164733070e+02	-1.3594085884e+06	8.4529377960e+03	4.6021804578e+03	-4.3962828000e-01	-3.3002074857e-01
2.7980542180e+05	9.2480932000e+09	1.6974288680e+03	3.4898295844e+03	9.9095849589e+00	2.6202634977e-05	1.2268698792e+03	6.5868026037e-12	2.8655419855e-05	2.5164733070e+02	-1.3522934087e+06	8.4745856346e+03	4.6086256240e+03	-4.3566515429e-01	-3.2845393142e-01
2.8766185027e+05	9.5200930000e+09	1.7001642338e+03	3.4967393972e+03	9.9121533767e+00	2.5939066801e-05	1.2263166130e+03	6.5308310071e-12	2.8598556846e-05	2.5164733070e+02	-1.3451795786e+06	8.4962530195e+03	4.6150777592e+03	-4.3170202858e-01	-3.2688711428e-01
2.9550034425e+05	9.7920928000e+09	1.7030838158e+03	3.5040458385e+03	9.9147088972e+00	2.5820499025e-05	1.2262688687e+03	6.4717983056e-12	2.8539025202e-05	2.5164733070e+02	-1.3381488090e+06	8.5216030766e+03	4.6252288305e+03	-4.3087398857e-01	-3.3038868572e-01
3.0332010401e+05	1.0064092600e+10	1.7061353204e+03	3.5116536930e+03	9.9172487709e+00	2.5810974684e-05	1.2266024231e+03	6.4108047012e-12	2.8477460485e-05	2.5164733070e+02	-1.3311792836e+06	8.5497507102e+03	4.6381684012e+03	-4.3244080571e-01	-3.3776194286e-01
3.1112091867e+05	1.0336092400e+10	1.7091790212e+03	3.5192655824e+03	9.9197720145e+00	2.5798741476e-05	1.2269276854e+03	6.3509090331e-12	2.8415845422e-05	2.5164733070e+02	-1.3242078952e+06	8.5778921684e+03	4.6510656663e+03	-4.3400762286e-01	-3.4513520000e-01
3.1890288865e+05	1.0608092200e+10	1.7122467753e+03	3.5268771923e+03	9.9222787075e+00	2.5783911328e-05	1.2272452293e+03	6.2921033598e-12	2.8354209900e-05	2.5164733070e+02	-1.3172379297e+06	8.6060102371e+03	4.6639068533e+03	-4.3708174857e-01	-3.5372112572e-01
3.2666638494e+05	1.0880092000e+10	1.7148668297e+03	3.5342238695e+03	9.9247698769e+00	2.5621657342e-05	1.2270088818e+03	6.2376075053e-12	2.8295333560e-05	2.5164733070e+02	-1.3101955072e+06	8.6295492053e+03	4.6724942722e+03	-4.3367234284e-01	-3.5541131429e-01
3.3441202946e+05	1.1152091800e+10	1.7172211567e+03	3.5414264939e+03	9.9272470953e+00	2.5373399821e-05	1.2264473449e+03	6.1858696610e-12	2.8237983205e-05	2.5164733070e+02	-1.3031108357e+06	8.6504315553e+03	4.6786114237e+03	-4.2685208002e-01	-3.5338366857e-01
3.4214000788e+05	1.1424091600e+10	1.7195768432e+03	3.5486442040e+03	9.9297107739e+00	2.5124512850e-05	1.2258823375e+03	6.1349167717e-12	2.8180499139e-05	2.5164733070e+02	-1.2960264724e+06	8.6713454485e+03	4.6847376450e+03	-4.2003181714e-01	-3.5135602286e-01
3.4985042018e+05	1.1696091400e+10	1.7219338905e+03	3.5558770129e+03	9.9321610483e+00	2.4874995885e-05	1.2253138568e+03	6.0847311800e-12	2.8122881244e-05	2.5164733070e+02	-1.2889424175e+06	8.6922909122e+03	4.6908729440e+03	-4.1321155428e-01	-3.4932837713e-01
3.5754264504e+05	1.1968091200e+10	1.7239250341e+03	3.5636725766e+03	9.9345958608e+00	2.4615244860e-05	1.2246919572e+03	6.0321408953e-12	2.8061547825e-05	2.5164733070e+02	-1.2818118687e+06	8.7138601925e+03	4.6969407025e+03	-4.0402836572e-01	-3.4742845713e-01
3.6521603077e+05	1.2240091000e+10	1.7257516901e+03	3.5717309764e+03	9.9370123014e+00	2.4350445590e-05	1.2240438455e+03	5.9789834444e-12	2.7998460092e-05	2.5164733070e+02	-1.2746601439e+06	8.7357292172e+03	4.7029822711e+03	-3.9379797143e-01	-3.4558514287e-01
3.7286946879e+05	1.2512090800e+10	1.7275760682e+03	3.5798103807e+03	9.9394079150e+00	2.4084826286e-05	1.2233915536e+03	5.9266556318e-12	2.7935199636e-05	2.5164733070e+02	-1.2675078513e+06	8.7576364903e+03	4.7090313568e+03	-3.8356757714e-01	-3.4374182857e-01
3.8050670060e+05	1.2784090600e+10	1.7293981725e+03	3.5879107504e+03	9.9417930533e+00	2.3818388482e-05	1.2227350892e+03	5.8751386471e-12	2.7871766779e-05	2.5164733070e+02	-1.2603549921e+06	8.7795819406e+03	4.7150879457e+03	-3.7333718286e-01	-3.4189851428e-01
3.8810220103e+05	1.3056090400e+10	1.7368461110e+03	3.6185815071e+03	9.9440832291e+00	2.3853156802e-05	1.2240988517e+03	5.6906511150e-12	2.7642692072e-05	2.5164733070e+02	-1.2547451157e+06	8.8955114554e+03	4.7923609913e+03	-3.6993430858e-01	-3.3155563429e-01
3.9562107944e+05	1.3328090200e+10	1.7462903566e+03	3.6564248816e+03	9.9461608131e+00	2.3991866665e-05	1.2261708177e+03	5.4786055839e-12	2.7360851587e-05	2.5164733070e+02	-1.2496620056e+06	9.0417406316e+03	4.8927779660e+03	-3.6817735427e-01	-3.1931646285e-01
4.0306189057e+05	1.3600090000e+10	1.7558154207e+03	3.6941280319e+03	9.9480188684e+00	2.4138397213e-05	1.2283022276e+03	5.2824583401e-12	2.7079862532e-05	2.5164733070e+02	-1.2445972392e+06	9.1879463643e+03	4.9934117383e+03	-3.6790085715e-01	-3.0650542857e-01
4.1042302700e+05	1.3872089800e+10	1.7654158003e+03	3.7316885279e+03	9.9496503566e+00	2.4292877166e-05	1.2304937732e+03	5.1004989036e-12	2.6799740727e-05	2.5164733070e+02	-1.2395503224e+06	9.3341290988e+03	5.0942671369e+03	-3.6961789714e-01	-2.9474958284e-01
4.1773223245e+05	1.4144089600e+10	1.7687825131e+03	3.7449270396e+03	9.9511457582e+00	2.4158125003e-05	1.2304866479e+03	5.0356442426e-12	2.6703357751e-05	2.5164733070e+02	-1.2331090885e+06	9.3792606231e+03	5.1195221002e+03	-3.6356253715e-01	-2.8982125715e-01
4.2502295421e+05	1.4416089400e+10	1.7707351948e+03	3.7528189490e+03	9.9526169409e+00	2.3957807552e-05	1.2299813176e+03	4.9955078775e-12	2.6647377678e-05	2.5164733070e+02	-1.2263540411e+06	9.4020880933e+03	5.1280496858e+03	-3.5600494857e-01	-2.8659545714e-01
4.3229710918e+05	1.4688089200e+10	1.7726900464e+03	3.7607225896e+03	9.9540693048e+00	2.3757130182e-05	1.2294737330e+03	4.9559627908e-12	2.6591301457e-05	2.5164733070e+02	-1.2195993200e+06	9.4249443225e+03	5.1365892543e+03	-3.4844735999e-01	-2.8336965713e-01
4.3955499233e+05	1.4960089000e+10	1.7746470718e+03	3.7686379811e+03	9.9555037136e+00	2.3556092293e-05	1.2289638902e+03	4.9169960119e-12	2.6535128929e-05	2.5164733070e+02	-1.2128449255e+06	9.4478293586e+03	5.1451408258e+03	-3.4088977143e-01	-2.8014385714e-01
4.4679644156e+05	1.5232088800e+10	1.7764514733e+03	3.7767313792e+03	9.9569194835e+00	2.3361432071e-05	1.2284699946e+03	4.8775719147e-12	2.6478532848e-05	2.5164733070e+02	-1.2061076600e+06	9.4709256323e+03	5.1538751838e+03	-3.5422114284e-01	-2.8659037715e-01
4.5402132396e+05	1.5504088600e+10	1.7782419193e+03	3.7848280557e+03	9.9583161051e+00	2.3167792454e-05	1.2279780112e+03	4.8387306608e-12	2.6422020680e-05	2.5164733070e+02	-1.1993745240e+06	9.4939914316e+03	5.1626051767e+03	-3.7035014284e-01	-2.9433229714e-01
4.6122987222e+05	1.5776088400e+10	1.7800394709e+03	3.7929036967e+03	9.9596937090e+00	2.2974301864e-05	1.2274856081e+03	4.8006009025e-12	2.6365651118e-05	2.5164733070e+02	-1.1926433759e+06	9.5169967285e+03	5.1713053002e+03	-3.8647914285e-01	-3.0207421714e-01
4.6842176101e+05	1.6048088200e+10	1.7818441706e+03	3.8009581767e+03	9.9610515453e+00	2.2780961189e-05	1.2269927826e+03	4.7631642132e-12	2.6309425010e-05	2.5164733070e+02	-1.1859142276e+06	9.5399411621e+03	5.1799753761e+03	-4.0260814285e-01	-3.0981613714e-01
4.7560022928e+05	1.6320088000e+10	1.7841549469e+03	3.8060211826e+03	9.9623996714e+00	2.2635644112e-05	1.2266287572e+03	4.7382023761e-12	2.6274538531e-05	2.5164733070e+02	-1.1793576448e+06	9.5547555253e+03	5.1848133718e+03	-4.0158125714e-01	-3.0937200000e-01
