model_id,timestep,time_myr,deflection,sharpness
plume_lnk18_Ha274_d5mm_080ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_d5mm_080ppm,5,5.005,28911.609375,-18342.015625
plume_lnk18_Ha274_d5mm_080ppm,10,10.0213,28604.4609375,-43340.7265625
plume_lnk18_Ha274_d5mm_080ppm,15,15.0332,-4788.59375,-9944.625
plume_lnk18_Ha274_d5mm_080ppm,20,20.0136,-3387.875,-10682.734375
plume_lnk18_Ha274_d5mm_080ppm,25,25.0323,-3838.71875,-10470.09375
plume_lnk18_Ha274_d5mm_080ppm,30,30.0211,-3810.578125,-10492.5
plume_lnk18_Ha274_d5mm_080ppm,35,35.0179,-3819.546875,-10502.34375
plume_lnk18_Ha274_d5mm_080ppm,40,40.0193,-3812.703125,-10521.3125
plume_lnk18_Ha274_d5mm_080ppm,45,45.0253,-3796.78125,-10546.015625
plume_lnk18_Ha274_d5mm_080ppm,50,50.0005,-3772.171875,-10575.28125
plume_lnk18_Ha274_d5mm_080ppm,55,55.0151,-3739.890625,-10608.0
plume_lnk18_Ha274_d5mm_080ppm,60,60.0335,-3702.171875,-10642.15625
plume_lnk18_Ha274_d5mm_080ppm,65,65.0197,-3661.28125,-10676.203125
plume_lnk18_Ha274_d5mm_080ppm,70,70.008705,-3618.390625,-10709.34375
plume_lnk18_Ha274_d5mm_080ppm,75,75.000305,-3575.46875,-10740.4375
plume_lnk18_Ha274_d5mm_080ppm,80,80.02991,-3534.015625,-10768.59375
plume_lnk18_Ha274_d5mm_080ppm,85,85.0268,-3093.75,-11194.921875
plume_lnk18_Ha274_d5mm_080ppm,90,90.025505,-3093.75,-11180.703125
plume_lnk18_Ha274_d5mm_080ppm,95,95.0258,-3093.75,-11166.65625
plume_lnk18_Ha274_d5mm_080ppm,100,100.0,-3093.75,-11156.671875
plume_lnk18_Ha274_d5mm_100ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_d5mm_100ppm,5,5.005,22331.2421875,-13530.5703125
plume_lnk18_Ha274_d5mm_100ppm,10,10.0289,-7379.28125,-9195.4375
plume_lnk18_Ha274_d5mm_100ppm,15,15.0194,-8283.578125,-7172.53125
plume_lnk18_Ha274_d5mm_100ppm,20,20.0027,-7446.234375,-7638.109375
plume_lnk18_Ha274_d5mm_100ppm,25,25.0208,-7707.640625,-7541.09375
plume_lnk18_Ha274_d5mm_100ppm,30,30.016,-7693.140625,-7550.8125
plume_lnk18_Ha274_d5mm_100ppm,35,35.0188,-7697.078125,-7554.5625
plume_lnk18_Ha274_d5mm_100ppm,40,40.0267,-7683.59375,-7566.234375
plume_lnk18_Ha274_d5mm_100ppm,45,45.0051,-7660.796875,-7582.53125
plume_lnk18_Ha274_d5mm_100ppm,50,50.0236,-7628.640625,-7603.328125
plume_lnk18_Ha274_d5mm_100ppm,55,55.0116,-7589.625,-7627.09375
plume_lnk18_Ha274_d5mm_100ppm,60,60.0032,-7545.890625,-7653.015625
plume_lnk18_Ha274_d5mm_100ppm,65,65.0333,-7218.75,-7960.609375
plume_lnk18_Ha274_d5mm_100ppm,70,70.032,-7218.75,-7940.6875
plume_lnk18_Ha274_d5mm_100ppm,75,75.034,-7218.75,-7921.3125
plume_lnk18_Ha274_d5mm_100ppm,80,80.0032,-7218.75,-7902.875
plume_lnk18_Ha274_d5mm_100ppm,85,85.0096,-7218.75,-7885.5625
plume_lnk18_Ha274_d5mm_100ppm,90,90.018,-7218.75,-7869.796875
plume_lnk18_Ha274_d5mm_100ppm,95,95.0284,-7218.75,-7855.59375
plume_lnk18_Ha274_d5mm_100ppm,100,100.0,-7218.75,-7844.90625
plume_lnk18_Ha274_d5mm_120ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_d5mm_120ppm,5,5.005,18149.7421875,-10430.7578125
plume_lnk18_Ha274_d5mm_120ppm,10,10.0092,-11086.15625,-6404.890625
plume_lnk18_Ha274_d5mm_120ppm,15,15.0098,-10349.40625,-5605.859375
plume_lnk18_Ha274_d5mm_120ppm,20,20.0127,-9720.046875,-5955.828125
plume_lnk18_Ha274_d5mm_120ppm,25,25.0151,-9887.515625,-5915.296875
plume_lnk18_Ha274_d5mm_120ppm,30,30.0329,-9860.890625,-5934.875
plume_lnk18_Ha274_d5mm_120ppm,35,35.0238,-9840.671875,-5954.0
plume_lnk18_Ha274_d5mm_120ppm,40,40.0206,-9803.53125,-5977.40625
plume_lnk18_Ha274_d5mm_120ppm,45,45.0231,-9759.390625,-6000.0
plume_lnk18_Ha274_d5mm_120ppm,50,50.0311,-9710.484375,-6018.6875
plume_lnk18_Ha274_d5mm_120ppm,55,55.0085,-9660.640625,-5808.109375
plume_lnk18_Ha274_d5mm_120ppm,60,60.0249,-9611.625,-5857.125
plume_lnk18_Ha274_d5mm_120ppm,65,65.0107,-9565.78125,-6032.984375
plume_lnk18_Ha274_d5mm_120ppm,70,70.0,-9524.0,-6023.203125
plume_lnk18_Ha274_d5mm_120ppm,75,75.027,-9281.25,-6212.703125
plume_lnk18_Ha274_d5mm_120ppm,80,80.0217,-9281.25,-6187.5
plume_lnk18_Ha274_d5mm_120ppm,85,85.019104,-9281.25,-6187.5
plume_lnk18_Ha274_d5mm_120ppm,90,90.0188,-9404.546875,-6064.203125
plume_lnk18_Ha274_d5mm_120ppm,95,95.0208,-9385.34375,-6083.40625
plume_lnk18_Ha274_d5mm_120ppm,100,100.0,-9392.640625,-6076.109375
plume_lnk18_Ha274_d5mm_140ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_d5mm_140ppm,5,5.005,15369.8515625,-8344.1328125
plume_lnk18_Ha274_d5mm_140ppm,10,10.007,-13148.171875,-5045.75
plume_lnk18_Ha274_d5mm_140ppm,15,15.0194,-11577.046875,-4632.671875
plume_lnk18_Ha274_d5mm_140ppm,20,20.0149,-11211.6875,-4852.796875
plume_lnk18_Ha274_d5mm_140ppm,25,25.0101,-11343.75,-4785.546875
plume_lnk18_Ha274_d5mm_140ppm,30,30.0227,-11343.75,-4781.890625
plume_lnk18_Ha274_d5mm_140ppm,35,35.0086,-11343.75,-4779.09375
plume_lnk18_Ha274_d5mm_140ppm,40,40.001,-11343.75,-4766.828125
plume_lnk18_Ha274_d5mm_140ppm,45,45.0342,-11343.75,-4748.015625
plume_lnk18_Ha274_d5mm_140ppm,50,50.0032,-11343.75,-4722.640625
plume_lnk18_Ha274_d5mm_140ppm,55,55.0116,-11343.75,-4691.1875
plume_lnk18_Ha274_d5mm_140ppm,60,60.0247,-11343.75,-4654.9375
plume_lnk18_Ha274_d5mm_140ppm,65,65.0074,-11343.75,-4615.484375
plume_lnk18_Ha274_d5mm_140ppm,70,70.028305,-11343.34375,-4574.34375
plume_lnk18_Ha274_d5mm_140ppm,75,75.0176,-11303.875,-4164.875
plume_lnk18_Ha274_d5mm_140ppm,80,80.0098,-11267.03125,-4201.71875
plume_lnk18_Ha274_d5mm_140ppm,85,85.0049,-11233.5,-4235.25
plume_lnk18_Ha274_d5mm_140ppm,90,90.002495,-11203.828125,-4264.921875
plume_lnk18_Ha274_d5mm_140ppm,95,95.0022,-11177.859375,-4290.890625
plume_lnk18_Ha274_d5mm_140ppm,100,100.0,-11185.15625,-4507.59375
plume_lnk18_Ha300_d5mm_060ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha300_d5mm_060ppm,5,5.005,34897.9375,-4992.6953125
plume_lnk18_Ha300_d5mm_060ppm,10,10.01,60814.25,-45098.625
plume_lnk18_Ha300_d5mm_060ppm,15,15.014,24339.484375,-32984.640625
plume_lnk18_Ha300_d5mm_060ppm,20,20.0006,32157.875,-38345.375
plume_lnk18_Ha300_d5mm_060ppm,25,25.0025,31968.75,-39002.5625
plume_lnk18_Ha300_d5mm_060ppm,30,30.0159,30860.3203125,-37958.0234375
plume_lnk18_Ha300_d5mm_060ppm,35,35.0371,31112.03125,-38129.046875
plume_lnk18_Ha300_d5mm_060ppm,40,40.0312,31048.4453125,-38099.4296875
plume_lnk18_Ha300_d5mm_060ppm,45,45.0241,31021.1875,-38075.375
plume_lnk18_Ha300_d5mm_060ppm,50,50.0201,31017.8828125,-38076.4296875
plume_lnk18_Ha300_d5mm_060ppm,55,55.0183,31007.3125,-38071.0
plume_lnk18_Ha300_d5mm_060ppm,60,60.0187,31002.1328125,-38069.3359375
plume_lnk18_Ha300_d5mm_060ppm,65,65.0208,31000.203125,-38070.203125
plume_lnk18_Ha300_d5mm_060ppm,70,70.0244,31001.1875,-38073.15625
plume_lnk18_Ha300_d5mm_060ppm,75,75.0294,30937.5,-38010.6875
plume_lnk18_Ha300_d5mm_060ppm,80,80.0357,30937.5,-38011.3125
plume_lnk18_Ha300_d5mm_060ppm,85,85.0055,30937.5,-38011.46875
plume_lnk18_Ha300_d5mm_060ppm,90,90.0142,30937.5,-38011.15625
plume_lnk18_Ha300_d5mm_060ppm,95,95.024,30937.5,-38010.46875
plume_lnk18_Ha300_d5mm_060ppm,100,100.0,30937.5,-38009.875
plume_lnk19_Ha274_d5mm_060ppm,0,0.0,927.09375,-825.0
plume_lnk19_Ha274_d5mm_060ppm,5,5.005,34792.96875,-15742.0234375
plume_lnk19_Ha274_d5mm_060ppm,10,10.01,60198.6015625,-65232.3203125
plume_lnk19_Ha274_d5mm_060ppm,15,15.0323,13736.0859375,-24705.7265625
plume_lnk19_Ha274_d5mm_060ppm,20,20.0171,19236.7890625,-28158.4765625
plume_lnk19_Ha274_d5mm_060ppm,25,25.0007,18035.1875,-27748.5625
plume_lnk19_Ha274_d5mm_060ppm,30,30.02,17919.5703125,-27577.1640625
plume_lnk19_Ha274_d5mm_060ppm,35,35.0182,17997.875,-27643.796875
plume_lnk19_Ha274_d5mm_060ppm,40,40.0195,17968.0625,-27623.578125
plume_lnk19_Ha274_d5mm_060ppm,45,45.0233,17968.625,-27622.453125
